team;fifa_rank;total_fifa_points;home_team_score;team_result;goalkeeper_score;mean_defense_score;mean_offense_score;mean_midfield_score
North Macedonia;105;0;0;-1;;;;
Malta;66;0;0;0;;;;
Moldova;135;0;3;1;;;;
Norway;8;0;1;0;;;;
Poland;33;0;1;1;;;;
Russia;17;0;4;1;;;;
Scotland;31;0;5;1;;;;
Switzerland;11;0;4;1;;;;
Turkey;39;0;5;1;;;;
Ukraine;79;0;0;0;;;;
Algeria;50;0;1;0;;;;
Egypt;25;0;5;1;;;;
Mauritania;141;0;1;0;;;;
Malawi;84;0;3;1;;;;
Namibia;153;0;2;1;;;;
Uganda;118;0;4;1;;;;
Guinea;61;0;3;1;;;;
Mozambique;106;0;3;1;;;;
Niger;74;0;1;-1;;;;
Togo;114;0;2;1;;;;
Peru;65;0;0;-1;;;;
Saudi Arabia;29;0;2;1;;;;
Oman;80;0;0;-1;;;;
Oman;65;0;2;1;;;;
Estonia;119;0;0;-1;;;;
Saudi Arabia;27;0;1;1;;;;
United Arab Emirates;54;0;3;1;;;;
Kuwait;47;0;0;-1;;;;
United Arab Emirates;54;0;2;1;;;;
Bahrain;84;0;2;1;;;;
Oman;65;0;1;-1;;;;
Latvia;72;0;0;0;;;;
United Arab Emirates;54;0;1;0;;;;
Oman;65;0;1;0;;;;
Kuwait;47;0;1;1;;;;
Morocco;33;0;1;0;;;;
Tunisia;30;0;2;1;;;;
Qatar;60;0;4;1;;;;
United Arab Emirates;54;0;2;1;;;;
Saudi Arabia;27;0;3;1;;;;
Egypt;24;0;5;1;;;;
Mauritania;137;0;1;0;;;;
Gambia;107;0;1;-1;;;;
Qatar;60;0;1;-1;;;;
Romania;8;0;3;1;;;;
Tanzania;90;0;2;1;;;;
Uganda;101;0;1;0;;;;
United Arab Emirates;54;0;0;0;;;;
Gabon;79;0;3;1;;;;
Guinea-Bissau;117;0;1;-1;;;;
Lesotho;151;0;2;1;;;;
Mali;49;0;0;0;;;;
Morocco;33;0;1;1;;;;
Mozambique;98;0;2;1;;;;
Niger;76;0;4;1;;;;
Oman;65;0;0;0;;;;
Portugal;25;0;1;1;;;;
Ukraine;81;0;3;1;;;;
Zambia;20;0;1;0;;;;
Bahrain;84;0;1;0;;;;
Grenada;139;0;1;-1;;;;
Liechtenstein;156;0;0;-1;;;;
Albania;113;0;1;-1;;;;
Azerbaijan;150;0;0;-1;;;;
Belarus;121;0;0;-1;;;;
Belgium;21;0;1;0;;;;
Bulgaria;16;0;4;1;;;;
Chile;46;0;0;-1;;;;
Cyprus;75;0;2;1;;;;
England;17;0;1;1;;;;
Finland;48;0;5;1;;;;
Georgia;106;0;5;1;;;;
Greece;31;0;2;1;;;;
Italy;2;0;1;-1;;;;
Kuwait;47;0;0;-1;;;;
Netherlands;5;0;0;0;;;;
Northern Ireland;39;0;0;-1;;;;
Poland;36;0;0;0;;;;
Scotland;28;0;1;0;;;;
Slovenia;73;0;1;-1;;;;
Spain;6;0;3;1;;;;
Sweden;3;0;2;1;;;;
Switzerland;7;0;1;1;;;;
United Arab Emirates;54;0;2;1;;;;
Trinidad and Tobago;90;0;1;1;;;;
Gabon;79;0;2;1;;;;
Jamaica;92;0;0;-1;;;;
Cameroon;28;0;1;-1;;;;
Israel;50;0;4;1;;;;
Cameroon;28;0;0;-1;;;;
South Africa;64;0;0;0;;;;
Spain;5;0;2;1;;;;
Kenya;90;0;0;-1;;;;
Uganda;97;0;2;1;;;;
Ghana;26;0;1;0;;;;
South Africa;64;0;1;0;;;;
Togo;88;0;2;1;;;;
Kenya;90;0;0;-1;;;;
Saudi Arabia;27;0;0;-1;;;;
Tanzania;85;0;2;1;;;;
Namibia;136;0;2;1;;;;
Saudi Arabia;27;0;1;-1;;;;
USA;24;0;1;0;;;;
Albania;109;0;0;-1;;;;
Finland;41;0;4;1;;;;
Israel;50;0;1;0;;;;
Malta;78;0;0;-1;;;;
Mexico;19;0;5;1;;;;
Moldova;121;0;0;-1;;;;
Netherlands;6;0;5;1;;;;
Turkey;48;0;1;-1;;;;
Wales;40;0;0;-1;;;;
Tunisia;29;0;1;1;;;;
Belgium;22;0;1;-1;;;;
North Macedonia;99;0;3;1;;;;
Saudi Arabia;27;0;1;-1;;;;
Cameroon;28;0;1;0;;;;
Germany;4;0;2;1;;;;
Greece;32;0;1;1;;;;
Portugal;21;0;8;1;;;;
Italy;4;0;3;1;;;;
Mali;52;0;0;0;;;;
Liberia;127;0;0;0;;;;
Mali;52;0;0;0;;;;
Saudi Arabia;27;0;1;1;;;;
Guinea;66;0;3;1;;;;
Mali;52;0;0;-1;;;;
Tunisia;30;0;2;1;;;;
Vietnam;151;0;1;1;;;;
Japan;36;0;0;-1;;;;
Saudi Arabia;27;0;0;-1;;;;
Senegal;50;0;0;0;;;;
Sierra Leone;76;0;2;1;;;;
Angola;106;0;1;1;;;;
Cameroon;31;0;0;0;;;;
Congo;114;0;3;1;;;;
Ethiopia;115;0;1;1;;;;
Guinea;66;0;3;1;;;;
