team;fifa_rank;total_fifa_points;home_team_score;team_result;goalkeeper_score;mean_defense_score;mean_offense_score;mean_midfield_score
United Arab Emirates;123;0;1;0;;;;
Venezuela;51;0;1;-1;63;60.5;72;70.8
Zambia;81;0;0;-1;;;64.7;
Algeria;44;0;3;1;;72.5;73.7;75.5
Benin;78;0;1;1;;;;
Guinea;55;0;1;-1;52;69.2;76;63.5
North Macedonia;56;0;2;1;74;71.5;73;63.8
Mali;53;0;1;1;53;73;74.7;77.8
Nigeria;34;0;1;1;;75.5;79;75.2
Bolivia;59;0;2;1;;;70.7;
Congo;79;0;0;0;66;67.5;69;65.5
Iceland;96;0;1;1;71;72.2;73;69
Andorra;195;0;0;-1;;;;
Angola;92;0;0;0;70;;73.7;63.2
Australia;14;0;1;1;79;73.8;76;75
Azerbaijan;139;0;1;0;;;;
Bosnia and Herzegovina;46;0;2;-1;76;73;79.7;78.2
Brazil;1;0;0;0;89;84.8;85.3;82.5
Bulgaria;19;0;6;1;77;70.8;77.3;75.8
Chile;21;0;1;1;75;74.2;77.3;78.5
Czech Republic;18;0;0;0;85;78.2;77.7;79.2
Denmark;16;0;0;-1;76;77;75.7;76.2
El Salvador;85;0;0;-1;;;;64.5
England;7;0;3;1;81;85.2;85;85.8
Estonia;114;0;2;1;72;64.5;65;
France;10;0;3;1;86;84;83.3;84.5
Germany;4;0;1;0;85;82.8;82.7;82.2
Greece;12;0;2;1;79;76;78;78.5
Republic of Ireland;38;0;0;0;84;78;76.3;79.2
Italy;4;0;3;1;88;83.8;85.3;84
Japan;40;0;5;1;;60;66.7;76.2
Kazakhstan;136;0;1;-1;65;;;
Korea Republic;49;0;2;1;73;71.2;71.3;73.8
Latvia;58;0;3;1;67;62.2;;
Liechtenstein;151;0;0;-1;;;;
Lithuania;62;0;2;1;67;68.5;70.7;
Paraguay;23;0;0;-1;76;74.8;80.3;73
Peru;91;0;1;1;62;69.5;80;70
Poland;36;0;0;-1;80;71.5;74;76
Portugal;17;0;4;1;79;82;84.3;82.8
Qatar;83;0;2;0;;;;
Romania;26;0;3;1;77;77.8;77;73.2
San Marino;203;0;0;-1;;;;
Sweden;41;0;4;1;77;77.2;80.7;78
Switzerland;15;0;0;0;80;76.5;76;77
Trinidad and Tobago;63;0;2;0;63;64.8;74.7;63
Tunisia;50;0;0;-1;67;71;72.3;69
Turkey;27;0;2;1;81;78.8;77.7;79.2
United Arab Emirates;123;0;3;1;;;;
Uruguay;28;0;0;-1;76;78;83;77.5
USA;11;0;2;0;82;73.8;73.7;78.2
Zimbabwe;131;0;3;1;;62.2;71.3;60
Comoros;199;0;0;0;;;;
Eswatini;148;0;2;1;;;;
Zimbabwe;131;0;2;0;;62.2;71.3;60
Botswana;125;0;1;1;;;;
Seychelles;180;0;1;-1;;;;
Vietnam;134;0;1;1;;;;
Mauritius;183;0;0;-1;;;;
Seychelles;180;0;0;-1;;;;
Singapore;119;0;4;1;;;;
Eswatini;148;0;3;1;;;;
Vietnam;134;0;2;0;;;;
Malawi;90;0;0;-1;;;;
Namibia;111;0;0;-1;;;;
Kuwait;109;0;1;1;;;;
Zimbabwe;131;0;1;1;;62.2;71.3;60
South Africa;85;0;2;1;71;72.2;72;75.2
Zimbabwe;131;0;1;1;;62.2;71.3;60
Mozambique;84;0;0;-1;;;;
South Africa;85;0;0;-1;71;72.2;72;75.2
Zimbabwe;131;0;3;1;;62.2;71.3;60
Kenya;104;0;0;-1;;;;
Chile;17;0;2;1;75;74.2;77.3;78.5
Singapore;119;0;3;1;;;;
Egypt;28;0;5;1;;;76.7;
Bahrain;61;0;5;1;;;;
Kuwait;109;0;2;0;;;;
Thailand;110;0;1;0;;;;
Yemen;139;0;1;0;;;;
IR Iran;62;0;1;1;;;;
Yemen;139;0;2;1;;;;
Paraguay;21;0;0;-1;76;74.8;80.3;73
Angola;98;0;1;0;70;;73.7;63.2
Belgium;68;0;3;1;76;79.2;77;77.5
Brazil;1;0;1;1;89;84.8;85.3;82.5
Burkina Faso;55;0;1;1;;65.8;73.3;
Costa Rica;43;0;0;-1;;67.2;73;69.2
Croatia;8;0;5;1;80;77.8;81.3;79.2
Denmark;27;0;0;0;76;77;75.7;76.2
Egypt;28;0;2;1;;;76.7;
Estonia;103;0;0;0;72;64.5;65;
Greece;16;0;0;0;79;76;78;78.5
Honduras;35;0;2;1;;;74.7;74.2
IR Iran;62;0;1;1;;;;
Republic of Ireland;34;0;0;-1;84;78;76.3;79.2
Italy;4;0;0;0;88;83.8;85.3;84
Côte d'Ivoire;19;0;3;1;73;74.8;83.3;80
Kenya;104;0;2;-1;;;;
Kuwait;109;0;2;1;;;;
Lebanon;145;0;0;-1;;;;
Luxembourg;133;0;1;0;;;;
North Macedonia;66;0;3;1;74;71.5;73;63.8
Morocco;63;0;0;-1;71;70.5;79;73.2
Mozambique;84;0;1;1;;;;
New Zealand;83;0;1;1;60;64.5;66;61.2
Northern Ireland;30;0;0;-1;73;75.8;71;72.5
Oman;79;0;1;-1;73;;;
Poland;56;0;0;-1;80;71.5;74;76
Portugal;10;0;1;1;79;82;84.3;82.8
Russia;12;0;2;1;85;79.8;80.3;80.5
Rwanda;114;0;0;0;;;;
Saudi Arabia;64;0;1;0;;;;
Singapore;119;0;1;-1;;;;
Slovakia;33;0;1;1;77;74;77.7;74.8
South Africa;85;0;0;0;71;72.2;72;75.2
Spain;2;0;2;1;90;85;85.3;87
Sudan;113;0;1;-1;;;;
Switzerland;13;0;0;-1;80;76.5;76;77
Togo;80;0;1;1;68;;74.3;
Uzbekistan;80;0;3;1;;;;
Vietnam;134;0;0;-1;;;;
Wales;78;0;3;1;76;73.5;70;79.5
Ghana;38;0;2;0;66;71.8;73.3;80.2
Iraq;93;0;1;1;;;;
United Arab Emirates;115;0;0;0;;;;
Belgium;68;0;2;1;76;79.2;77;77.5
Oman;79;0;0;-1;73;;;
Slovakia;33;0;1;-1;77;74;77.7;74.8
South Africa;85;0;0;0;71;72.2;72;75.2
Algeria;29;0;1;1;;72.5;73.7;75.5
Angola;98;0;0;0;70;;73.7;63.2
Austria;58;0;1;-1;77;74.8;73.7;75
Azerbaijan;125;0;2;1;;;;
Bahrain;61;0;4;1;;;;
Bosnia and Herzegovina;42;0;0;-1;76;73;79.7;78.2
Denmark;27;0;3;1;76;77;75.7;76.2
France;9;0;1;0;86;84;83.3;84.5
Germany;5;0;2;0;85;82.8;82.7;82.2
Honduras;35;0;1;-1;;;74.7;74.2
Hong Kong;127;0;0;-1;;;;
Indonesia;129;0;1;0;;;;
IR Iran;62;0;1;0;;;;
Italy;4;0;1;1;88;83.8;85.3;84
Korea Republic;48;0;0;-1;73;71.2;71.3;73.8
Malaysia;150;0;1;-1;;;;
Malta;146;0;1;-1;;;;
Montenegro;75;0;1;1;;71;73.3;76.2
Netherlands;3;0;0;0;83;77.8;83.7;83.8
Poland;56;0;1;1;80;71.5;74;76
Slovenia;49;0;1;1;78;70.2;72.7;71.8
Syria;95;0;0;0;;;;
Thailand;110;0;0;-1;;;;
Ukraine;22;0;0;-1;78;75;78.3;77.2
United Arab Emirates;115;0;0;-1;;;;
Uruguay;25;0;1;0;76;78;83;77.5
Zambia;90;0;4;1;;;64.7;
China PR;97;0;1;1;71;67.5;68.3;67.5
Jordan;128;0;1;1;;;;
Kenya;105;0;0;-1;;;;
Rwanda;110;0;1;1;;;;
Uganda;78;0;2;1;;;;
Ethiopia;131;0;5;1;;;;
Burundi;124;0;0;-1;;;;
Ethiopia;131;0;0;-1;;;;
Kenya;105;0;2;1;;;;
Rwanda;110;0;2;1;;;;
Bangladesh;165;0;4;1;;;;
Djibouti;185;0;0;-1;;;;
Sri Lanka;154;0;1;1;;;;
Tanzania;106;0;1;1;;;;
Dominica;197;0;4;1;;;;
Kenya;105;0;2;1;;;;
Maldives;146;0;1;0;;;;
Somalia;167;0;1;-1;;;;
Bangladesh;165;0;0;0;;;;
Sri Lanka;154;0;6;1;;;;
Kenya;105;0;0;-1;;;;
Maldives;146;0;3;1;;;;
Bangladesh;165;0;2;1;;;;
Pakistan;161;0;7;1;;;;
Tanzania;106;0;4;1;;;;
Afghanistan;192;0;0;-1;;;;
Tanzania;106;0;1;-1;;;;
Maldives;146;0;5;1;;;;
Uganda;78;0;2;1;;;;
Kuwait;104;0;0;0;;;;
Mozambique;72;0;0;-1;;;;
Korea DPR;86;0;1;1;;;;
Qatar;86;0;3;1;;;;
Egypt;24;0;1;0;;;76.7;
Thailand;105;0;3;1;;;;
Angola;95;0;0;-1;70;;73.7;63.2
China PR;93;0;2;0;71;67.5;68.3;67.5
Malaysia;160;0;4;1;;;;
Mali;47;0;2;1;53;73;74.7;77.8
Qatar;86;0;0;-1;;;;
Yemen;130;0;2;1;;;;
Singapore;110;0;1;-1;;;;
IR Iran;64;0;1;1;;;;
Qatar;86;0;0;0;;;;
Syria;91;0;6;1;;;;
Yemen;130;0;0;-1;;;;
Angola;95;0;1;0;70;;73.7;63.2
Egypt;24;0;1;1;;;76.7;
Tanzania;106;0;0;-1;;;;
Ghana;34;0;0;0;66;71.8;73.3;80.2
Bahrain;60;0;4;1;;;;
Benin;59;0;1;1;;;;
China PR;93;0;0;0;71;67.5;68.3;67.5
Gabon;48;0;2;1;60;61.5;71;
Indonesia;120;0;1;-1;;;;
Kuwait;104;0;2;0;;;;
Lebanon;148;0;1;0;;;;
Singapore;110;0;1;-1;;;;
Thailand;105;0;0;0;;;;
United Arab Emirates;112;0;1;1;;;;
Yemen;130;0;2;-1;;;;
Rwanda;102;0;0;-1;;;;
Kenya;98;0;1;-1;;;;
Tunisia;53;0;1;-1;67;71;72.3;69
Zambia;84;0;4;1;;;64.7;
Angola;95;0;4;0;70;;73.7;63.2
Côte d'Ivoire;16;0;0;0;73;74.8;83.3;80
Malawi;99;0;3;1;;;;
Egypt;24;0;3;1;;;76.7;
Mozambique;72;0;2;0;;;;
Cameroon;11;0;0;-1;81;75.2;78;78.5
Zambia;84;0;1;0;;;64.7;
Angola;95;0;2;1;70;;73.7;63.2
Mali;47;0;0;-1;53;73;74.7;77.8
Côte d'Ivoire;16;0;3;1;73;74.8;83.3;80
Yemen;130;0;3;1;;;;
Egypt;24;0;2;1;;;76.7;
Nigeria;22;0;1;1;;75.5;79;75.2
Cameroon;11;0;3;1;81;75.2;78;78.5
Gabon;48;0;0;0;60;61.5;71;
Thailand;105;0;1;1;;;;
Vietnam;123;0;1;-1;;;;
Angola;95;0;0;0;70;;73.7;63.2
Finland;55;0;0;-1;80;75.2;73.3;71.5
Mali;47;0;3;1;53;73;74.7;77.8
Burkina Faso;49;0;0;-1;;65.8;73.3;
Chile;15;0;2;1;75;74.2;77.3;78.5
Egypt;24;0;2;1;;;76.7;
Nigeria;22;0;3;1;;75.5;79;75.2
Oman;79;0;0;-1;73;;;
Thailand;105;0;1;-1;;;;
Yemen;130;0;3;1;;;;
Cameroon;11;0;2;0;81;75.2;78;78.5
Gabon;48;0;1;-1;60;61.5;71;
Latvia;45;0;0;-1;67;62.2;;
Poland;58;0;6;1;80;71.5;74;76
Syria;91;0;1;0;;;;
USA;14;0;1;-1;82;73.8;73.7;78.2
Angola;95;0;0;-1;70;;73.7;63.2
Côte d'Ivoire;16;0;2;-1;73;74.8;83.3;80
Egypt;24;0;3;1;;;76.7;
Zambia;84;0;0;-1;;;64.7;
Argentina;8;0;3;1;78;82.5;87.3;83.8
South Africa;85;0;3;1;71;72.2;72;75.2
Algeria;26;0;0;-1;;72.5;73.7;75.5
Ghana;34;0;1;1;66;71.8;73.3;80.2
Nigeria;22;0;1;1;;75.5;79;75.2
Ghana;34;0;0;-1;66;71.8;73.3;80.2
Jamaica;81;0;1;1;69;65.2;74.3;68.8
Japan;43;0;0;0;;60;66.7;76.2
Japan;40;0;0;0;;60;66.7;76.2
Korea Republic;49;0;5;1;73;71.2;71.3;73.8
Argentina;8;0;2;1;78;82.5;87.3;83.8
China PR;87;0;3;1;71;67.5;68.3;67.5
Japan;40;0;3;1;;60;66.7;76.2
Hong Kong;137;0;0;-1;;;;
Japan;40;0;1;-1;;60;66.7;76.2
Sri Lanka;151;0;0;-1;;;;
Tajikistan;148;0;1;-1;;;;
Korea DPR;85;0;1;0;;;;
Bangladesh;150;0;1;-1;;;;
Sri Lanka;151;0;1;-1;;;;
Kuwait;92;0;1;0;;;;
Kyrgyz Republic;158;0;0;-1;;;;
Sri Lanka;151;0;3;1;;;;
Tajikistan;148;0;3;1;;;;
Turkmenistan;134;0;1;1;;;;
Korea DPR;85;0;5;1;;;;
Mexico;17;0;5;1;79;76.5;77.7;76.8
Tajikistan;148;0;0;-1;;;;
USA;14;0;2;1;82;73.8;73.7;78.2
Jordan;106;0;0;-1;;;;
Kuwait;92;0;4;1;;;;
Turkmenistan;134;0;1;0;;;;
Malaysia;159;0;1;1;;;;
Tajikistan;148;0;1;1;;;;
Republic of Ireland;37;0;0;-1;84;78;76.3;79.2
Albania;96;0;1;1;65;;66.3;69.5
Algeria;32;0;0;-1;;72.5;73.7;75.5
Angola;86;0;1;0;70;;73.7;63.2
Armenia;103;0;1;-1;70;;;
Australia;23;0;1;1;79;73.8;76;75
Austria;56;0;2;1;77;74.8;73.7;75
Belgium;68;0;0;-1;76;79.2;77;77.5
Bosnia and Herzegovina;49;0;2;1;76;73;79.7;78.2
Cyprus;66;0;0;0;;;;
El Salvador;72;0;1;-1;;;;64.5
England;8;0;3;1;81;85.2;85;85.8
France;7;0;0;-1;86;84;83.3;84.5
Georgia;124;0;2;1;61;73;67.7;66
Germany;5;0;0;-1;85;82.8;82.7;82.2
Greece;10;0;0;-1;79;76;78;78.5
Hong Kong;142;0;0;0;;;;
Hungary;48;0;1;0;75;69.5;73;76.5
IR Iran;67;0;1;1;;;;
Italy;4;0;0;0;88;83.8;85.3;84
Côte d'Ivoire;22;0;0;-1;73;74.8;83.3;80
Japan;46;0;2;1;;60;66.7;76.2
Jordan;106;0;2;1;;;;
Kazakhstan;127;0;0;-1;65;;;
Libya;116;0;2;1;;;;
Luxembourg;126;0;1;-1;;;;
North Macedonia;64;0;2;1;74;71.5;73;63.8
Malta;150;0;1;-1;;;;
Mexico;15;0;2;1;79;76.5;77.7;76.8
Mozambique;84;0;0;-1;;;;
Netherlands;3;0;2;1;83;77.8;83.7;83.8
Nigeria;21;0;5;1;;75.5;79;75.2
Oman;93;0;0;0;73;;;
Poland;59;0;2;1;80;71.5;74;76
Portugal;6;0;2;1;79;82;84.3;82.8
Romania;36;0;0;-1;77;77.8;77;73.2
Scotland;45;0;1;1;79;76;78.3;79
Slovakia;31;0;0;-1;77;74;77.7;74.8
Slovenia;27;0;4;1;78;70.2;72.7;71.8
South Africa;81;0;1;0;71;72.2;72;75.2
Switzerland;15;0;1;-1;80;76.5;76;77
Syria;101;0;4;1;;;;
Tanzania;108;0;2;-1;;;;
Turkey;41;0;2;1;81;78.8;77.7;79.2
Uzbekistan;75;0;0;-1;;;;
Venezuela;49;0;1;-1;63;60.5;72;70.8
Wales;76;0;0;-1;76;73.5;70;79.5
Zimbabwe;117;0;2;1;;62.2;71.3;60
Venezuela;49;0;2;1;63;60.5;72;70.8
Niger;164;0;2;1;;;;
Mexico;15;0;2;1;79;76.5;77.7;76.8
Iceland;91;0;2;1;71;72.2;73;69
Namibia;111;0;0;0;;;;
Mexico;15;0;0;0;79;76.5;77.7;76.8
Chile;13;0;0;0;75;74.2;77.3;78.5
Paraguay;23;0;1;0;76;74.8;80.3;73
Japan;45;0;0;-1;;60;66.7;76.2
Honduras;36;0;0;-1;;;74.7;74.2
South Africa;88;0;0;0;71;72.2;72;75.2
South Africa;90;0;2;1;71;72.2;72;75.2
Argentina;7;0;4;1;78;82.5;87.3;83.8
Chile;15;0;2;1;75;74.2;77.3;78.5
Mexico;17;0;0;0;79;76.5;77.7;76.8
Mexico;17;0;1;1;79;76.5;77.7;76.8
Yemen;109;0;1;1;;;;
Germany;6;0;3;1;85;82.8;82.7;82.2
Mexico;17;0;1;1;79;76.5;77.7;76.8
Paraguay;30;0;1;1;76;74.8;80.3;73
Korea Republic;47;0;2;1;73;71.2;71.3;73.8
Mexico;17;0;1;1;79;76.5;77.7;76.8
South Africa;90;0;4;1;71;72.2;72;75.2
Yemen;109;0;0;-1;;;;
Austria;64;0;0;-1;77;74.8;73.7;75
Belgium;62;0;2;1;76;79.2;77;77.5
Gabon;41;0;3;1;60;61.5;71;
Aruba;197;0;0;-1;;;;
Congo DR;111;0;0;-1;;70.2;76;66.8
Estonia;104;0;2;1;72;64.5;65;
Turkey;33;0;2;1;81;78.8;77.7;79.2
Croatia;9;0;2;1;80;77.8;81.3;79.2
Argentina;7;0;5;1;78;82.5;87.3;83.8
Australia;20;0;2;1;79;73.8;76;75
England;8;0;3;1;81;85.2;85;85.8
Japan;45;0;0;-1;;60;66.7;76.2
Portugal;3;0;0;0;79;82;84.3;82.8
South Africa;90;0;1;0;71;72.2;72;75.2
Armenia;99;0;3;1;70;;;
Georgia;119;0;0;0;61;73;67.7;66
Greece;12;0;2;0;79;76;78;78.5
Republic of Ireland;43;0;2;1;84;78;76.3;79.2
Montenegro;65;0;0;-1;;71;73.3;76.2
Nigeria;20;0;0;0;;75.5;79;75.2
Ukraine;25;0;4;1;78;75;78.3;77.2
USA;14;0;2;-1;82;73.8;73.7;78.2
Azerbaijan;109;0;1;0;;;;
Chile;18;0;3;1;75;74.2;77.3;78.5
Estonia;99;0;0;0;72;64.5;65;
France;9;0;2;1;86;84;83.3;84.5
Netherlands;4;0;2;1;83;77.8;83.7;83.8
Northern Ireland;56;0;0;-1;73;75.8;71;72.5
Uruguay;16;0;4;1;76;78;83;77.5
Belarus;82;0;2;0;76;66.2;69.7;73.2
Denmark;36;0;2;1;76;77;75.7;76.2
South Africa;83;0;2;1;71;72.2;72;75.2
Republic of Ireland;41;0;3;1;84;78;76.3;79.2
Azerbaijan;109;0;1;-1;;;;
Hungary;57;0;0;-1;75;69.5;73;76.5
Iceland;90;0;4;1;71;72.2;73;69
Moldova;89;0;2;-1;65;65;53.3;67
New Zealand;78;0;1;1;60;64.5;66;61.2
Norway;22;0;2;1;72;77.2;77;75
Poland;58;0;0;0;80;71.5;74;76
Slovakia;34;0;1;0;77;74;77.7;74.8
Spain;2;0;3;1;90;85;85.3;87
Sweden;37;0;4;1;77;77.2;80.7;78
Ukraine;23;0;3;1;78;75;78.3;77.2
USA;14;0;2;1;82;73.8;73.7;78.2
Venezuela;49;0;1;0;63;60.5;72;70.8
Belarus;82;0;1;1;76;66.2;69.7;73.2
Chile;18;0;1;1;75;74.2;77.3;78.5
Chile;18;0;3;1;75;74.2;77.3;78.5
Japan;45;0;1;-1;;60;66.7;76.2
Mexico;17;0;5;1;79;76.5;77.7;76.8
Nigeria;21;0;1;0;;75.5;79;75.2
Paraguay;31;0;2;0;76;74.8;80.3;73
Tunisia;55;0;1;0;67;71;72.3;69
South Africa;83;0;5;1;71;72.2;72;75.2
Australia;20;0;1;1;79;73.8;76;75
Netherlands;4;0;4;1;83;77.8;83.7;83.8
Portugal;3;0;3;1;79;82;84.3;82.8
Switzerland;24;0;0;-1;80;76.5;76;77
Albania;79;0;1;1;65;;66.3;69.5
Azerbaijan;109;0;0;0;;;;
Belarus;82;0;0;-1;76;66.2;69.7;73.2
Greece;13;0;0;-1;79;76;78;78.5
Norway;22;0;0;-1;72;77.2;77;75
Romania;28;0;0;-1;77;77.8;77;73.2
Serbia;15;0;0;0;75;80.2;77.3;80.2
Zimbabwe;110;0;0;-1;;62.2;71.3;60
Germany;6;0;3;1;85;82.8;82.7;82.2
Italy;5;0;1;-1;88;83.8;85.3;84
Spain;2;0;1;1;90;85;85.3;87
France;9;0;0;-1;86;84;83.3;84.5
Japan;45;0;0;-1;;60;66.7;76.2
Luxembourg;127;0;0;0;;;;
Slovenia;25;0;3;1;78;70.2;72.7;71.8
Sudan;118;0;1;0;;;;
Algeria;30;0;1;1;;72.5;73.7;75.5
Australia;20;0;1;-1;79;73.8;76;75
Ghana;32;0;1;1;66;71.8;73.3;80.2
Netherlands;4;0;6;1;83;77.8;83.7;83.8
Romania;28;0;3;1;77;77.8;77;73.2
Serbia;15;0;4;1;75;80.2;77.3;80.2
Slovakia;34;0;3;1;77;74;77.7;74.8
South Africa;83;0;1;1;71;72.2;72;75.2
Switzerland;24;0;1;0;80;76.5;76;77
Nigeria;21;0;3;1;;75.5;79;75.2
Tanzania;108;0;1;-1;;;;
Mozambique;85;0;0;-1;;;;
Spain;2;0;6;1;90;85;85.3;87
South Africa;83;0;1;0;71;72.2;72;75.2
Uruguay;16;0;0;0;76;78;83;77.5
Argentina;7;0;1;1;78;82.5;87.3;83.8
England;8;0;1;0;81;85.2;85;85.8
Korea Republic;47;0;2;1;73;71.2;71.3;73.8
Algeria;30;0;0;-1;;72.5;73.7;75.5
Germany;6;0;4;1;85;82.8;82.7;82.2
Serbia;15;0;0;-1;75;80.2;77.3;80.2
Italy;5;0;1;0;88;83.8;85.3;84
Japan;45;0;1;1;;60;66.7;76.2
Netherlands;4;0;2;1;83;77.8;83.7;83.8
Brazil;1;0;2;1;89;84.8;85.3;82.5
Côte d'Ivoire;27;0;0;0;73;74.8;83.3;80
New Zealand;78;0;1;0;60;64.5;66;61.2
Honduras;38;0;0;-1;;;74.7;74.2
South Africa;83;0;0;-1;71;72.2;72;75.2
Spain;2;0;0;-1;90;85;85.3;87
Argentina;7;0;4;1;78;82.5;87.3;83.8
France;9;0;0;-1;86;84;83.3;84.5
Greece;13;0;2;1;79;76;78;78.5
England;8;0;0;0;81;85.2;85;85.8
Germany;6;0;0;-1;85;82.8;82.7;82.2
Lithuania;49;0;0;0;67;68.5;70.7;
Slovenia;25;0;2;0;78;70.2;72.7;71.8
Cameroon;19;0;1;-1;81;75.2;78;78.5
Estonia;99;0;0;0;72;64.5;65;
Ghana;32;0;1;0;66;71.8;73.3;80.2
Netherlands;4;0;1;1;83;77.8;83.7;83.8
Niger;162;0;1;0;;;;
Brazil;1;0;3;1;89;84.8;85.3;82.5
Italy;5;0;1;0;88;83.8;85.3;84
Lithuania;49;0;2;1;67;68.5;70.7;
Slovakia;34;0;0;-1;77;74;77.7;74.8
Sudan;118;0;2;-1;;;;
Chile;18;0;1;1;75;74.2;77.3;78.5
Portugal;3;0;7;1;79;82;84.3;82.8
Spain;2;0;2;1;90;85;85.3;87
Greece;13;0;0;-1;79;76;78;78.5
Mexico;17;0;0;-1;79;76.5;77.7;76.8
Nigeria;21;0;2;0;;75.5;79;75.2
South Africa;83;0;2;1;71;72.2;72;75.2
Australia;20;0;2;1;79;73.8;76;75
Ghana;32;0;0;-1;66;71.8;73.3;80.2
Slovenia;25;0;0;-1;78;70.2;72.7;71.8
USA;14;0;1;1;82;73.8;73.7;78.2
Cameroon;19;0;1;-1;81;75.2;78;78.5
Denmark;36;0;1;-1;76;77;75.7;76.2
Paraguay;31;0;0;0;76;74.8;80.3;73
Slovakia;34;0;3;1;77;74;77.7;74.8
Chile;18;0;1;-1;75;74.2;77.3;78.5
Korea DPR;105;0;0;-1;;;;
Portugal;3;0;0;0;79;82;84.3;82.8
Switzerland;24;0;0;0;80;76.5;76;77
China PR;84;0;4;1;71;67.5;68.3;67.5
Uruguay;16;0;2;1;76;78;83;77.5
USA;14;0;1;-1;82;73.8;73.7;78.2
Argentina;7;0;3;1;78;82.5;87.3;83.8
Germany;6;0;4;1;85;82.8;82.7;82.2
Brazil;1;0;3;1;89;84.8;85.3;82.5
Netherlands;4;0;2;1;83;77.8;83.7;83.8
Paraguay;31;0;0;1;76;74.8;80.3;73
Spain;2;0;1;1;90;85;85.3;87
Chad;143;0;2;0;;;;
Tunisia;55;0;0;-1;67;71;72.3;69
Netherlands;4;0;2;1;83;77.8;83.7;83.8
Uruguay;16;0;1;1;76;78;83;77.5
Argentina;7;0;0;-1;78;82.5;87.3;83.8
Paraguay;31;0;0;-1;76;74.8;80.3;73
Uruguay;16;0;2;-1;76;78;83;77.5
Germany;6;0;0;-1;85;82.8;82.7;82.2
Botswana;116;0;1;1;;;;
Togo;76;0;1;0;68;;74.3;
Uruguay;16;0;2;-1;76;78;83;77.5
Netherlands;4;0;0;-1;83;77.8;83.7;83.8
Botswana;93;0;2;1;;;;
Bosnia and Herzegovina;57;0;1;0;76;73;79.7;78.2
Italy;11;0;0;-1;88;83.8;85.3;84
USA;13;0;0;-1;82;73.8;73.7;78.2
Albania;70;0;1;1;65;;66.3;69.5
Algeria;33;0;1;-1;;72.5;73.7;75.5
Angola;87;0;0;-1;70;;73.7;63.2
Armenia;96;0;1;-1;70;;;
Austria;60;0;0;-1;77;74.8;73.7;75
Azerbaijan;105;0;1;0;;;;
Benin;61;0;0;0;;;;
Bolivia;50;0;1;0;;;70.7;
Burkina Faso;45;0;3;1;;65.8;73.3;
Chad;124;0;1;-1;;;;
China PR;77;0;1;0;71;67.5;68.3;67.5
Cyprus;63;0;1;1;;;;
Czech Republic;31;0;4;1;85;78.2;77.7;79.2
Denmark;29;0;2;0;76;77;75.7;76.2
Egypt;9;0;6;1;;;76.7;
England;7;0;2;1;81;85.2;85;85.8
Estonia;94;0;2;1;72;64.5;65;
Finland;51;0;1;1;80;75.2;73.3;71.5
Iceland;79;0;1;0;71;72.2;73;69
Republic of Ireland;36;0;0;-1;84;78;76.3;79.2
Kazakhstan;125;0;3;1;65;;;
Korea Republic;44;0;2;1;73;71.2;71.3;73.8
Lithuania;52;0;0;-1;67;68.5;70.7;
Malawi;74;0;1;0;;;;
Mali;55;0;0;-1;53;73;74.7;77.8
Malta;151;0;1;0;;;;
Mauritania;168;0;0;0;;;;
Mexico;25;0;1;0;79;76.5;77.7;76.8
Moldova;89;0;0;0;65;65;53.3;67
Montenegro;73;0;2;1;;71;73.3;76.2
Morocco;83;0;2;1;71;70.5;79;73.2
Mozambique;80;0;2;1;;;;
Norway;22;0;2;1;72;77.2;77;75
Panama;97;0;3;1;;;;
Paraguay;15;0;2;1;76;74.8;80.3;73
Poland;56;0;0;-1;80;71.5;74;76
Russia;16;0;1;1;85;79.8;80.3;80.5
Saudi Arabia;70;0;1;1;;;;
Senegal;91;0;1;1;78;77;79.7;74
Serbia;13;0;0;-1;75;80.2;77.3;80.2
Slovakia;27;0;1;0;77;74;77.7;74.8
Slovenia;19;0;2;1;78;70.2;72.7;71.8
South Africa;66;0;1;1;71;72.2;72;75.2
Sweden;35;0;3;1;77;77.2;80.7;78
Tanzania;111;0;1;0;;;;
Thailand;104;0;1;1;;;;
Trinidad and Tobago;76;0;1;-1;63;64.8;74.7;63
Turkey;28;0;2;1;81;78.8;77.7;79.2
Uganda;69;0;1;0;;;;
Ukraine;24;0;1;0;78;75;78.3;77.2
Wales;84;0;5;1;76;73.5;70;79.5
Ethiopia;144;0;0;-1;;;;
St. Kitts and Nevis;145;0;1;0;;;;
Ethiopia;144;0;1;1;;;;
Madagascar;148;0;1;1;;;;
Israel;38;0;3;1;78;67;69;73.8
Algeria;33;0;1;0;69;73.5;71.3;74.5
Andorra;201;0;0;-1;;;;
Armenia;96;0;0;-1;76;;;
Belgium;48;0;0;-1;74;79.8;78;77.8
China PR;77;0;0;-1;71;63.8;68.3;66
England;7;0;4;1;82;84;83.7;84
Estonia;94;0;1;-1;72;;;63.8
Faroe Islands;118;0;0;-1;66;;;
France;21;0;0;-1;84;82.8;81.7;84.2
Greece;12;0;1;0;74;75.5;76.3;75.5
Iceland;79;0;1;-1;69;71.8;73;65.8
Kazakhstan;125;0;0;-1;;;;
Kuwait;85;0;3;1;;;;
Latvia;49;0;0;-1;69;65.2;66;
Liechtenstein;141;0;0;-1;;;;
Lithuania;52;0;0;0;72;69.2;69.7;62
Luxembourg;117;0;0;-1;;;;
Moldova;89;0;2;1;61;;65.7;
